title,date,url,hotfix_counter,ranked_or_progression_changed,matchmaking_changed,new_mode,mode_removed,mode_changes,battlepass_or_event_added,cosmetics_added,new_map_or_variation,map_changes,modifiers_or_destruction_changes,bug_fixes,servers_changed,qol_additions,optimization_changes,buffs,nerfs,weapon_gadget_spec_added,gameplay_changes,weapon_gadget_spec_removed
Update 4.6.0,2024-11-06,https://www.reachthefinals.com/patchnotes/460,,,,,,,,1,1,3,,29,,3,8,2,6,,,
Update 4.5.0,2024-10-30,https://www.reachthefinals.com/patchnotes/450,,1,,,,,1,1,1,,,8,,,1,2,4,,1,
Update 4.4.0,2024-10-23,https://www.reachthefinals.com/patchnotes/440,,1,,,,1,,1,,2,1,22,,4,2,2,1,,1,
Update 4.3.0,2024-10-16,https://www.reachthefinals.com/patchnotes/430,,,,,,,,1,,,,1,,,,,,,,
Update 4.2.0,2024-10-10,https://www.reachthefinals.com/patchnotes/420,,,,,,4,1,1,,,2,27,,3,7,5,4,,7,
Update 4.1.0,2024-10-02,https://www.reachthefinals.com/patchnotes/410,,,,,,1,,1,,,,5,,,1,,,,,
Update 4.0.0,2024-09-26,https://www.reachthefinals.com/patchnotes/400,,1,1,1,1,11,1,1,1,,,29,,11,6,43,15,3,9,
Update 3.14.0,2024-09-20,https://www.reachthefinals.com/patchnotes/3140,,,,,,,1,1,,,,8,,3,2,,,,,
Update 3.13.0,2024-09-11,https://www.reachthefinals.com/patchnotes/3130,,,,,,,,1,,,,,,,,,,,,
Update 3.12.0,2024-09-04,https://www.reachthefinals.com/patchnotes/3120,,1,,,,2,,1,,,,7,,,3,,,,,
Update 3.11.0,2024-08-28,https://www.reachthefinals.com/patchnotes/3110,,,,,,,1,1,,,,,,,,,,,,
Update 3.10.0,2024-08-21,https://www.reachthefinals.com/patchnotes/3100,,1,,,,1,,1,,,,24,,2,3,1,5,,,
Update 3.9.0,2024-08-14,https://www.reachthefinals.com/patchnotes/390,,,,,,,1,1,,,,1,,1,,,,,,
Update 3.8.0,2024-08-07,https://www.reachthefinals.com/patchnotes/380,2,1,,,,2,,1,,,,18,1,2,,,,,2,
Update 3.7.0,2024-07-31,https://www.reachthefinals.com/patchnotes/370,,,,,,,,1,,,,,,,,,,,,
Update 3.6.0,2024-07-24,https://www.reachthefinals.com/patchnotes/360,,1,,,,4,,1,,,,10,,5,2,6,2,,2,
Update 3.5.0,2024-07-18,https://www.reachthefinals.com/patchnotes/350,,,,,,,1,1,,,,2,,,,,,,,
Update 3.4.0,2024-07-10,https://www.reachthefinals.com/patchnotes/340,,,,,,6,,1,,,1,15,,4,2,8,8,,10,
Update 3.3.0,2024-07-03,https://www.reachthefinals.com/patchnotes/330,,1,,,,,,1,,,,3,,3,,,,,,
Update 3.2.0,2024-06-26,https://www.reachthefinals.com/patchnotes/320,1,,1,,,,,1,,1,1,18,,1,5,,,,1,
Update 3.1.0,2024-06-19,https://www.reachthefinals.com/patchnotes/310,,,,,,1,,1,,,,1,1,,,,4,,,
Update 3.0.0 | Season 3 Launch,2024-06-13,https://www.reachthefinals.com/patchnotes/300,,1,,2,1,7,1,1,1,,,7,,16,7,32,21,5,14,
Update 2.11.0,2024-06-05,https://www.reachthefinals.com/patchnotes/2110,,,,,,,,1,,,,2,,,,,,,,
Update 2.10.0,2024-05-29,https://www.reachthefinals.com/patchnotes/2100,1,1,,,,,1,1,,,,26,,3,4,4,1,,2,
Update 2.9.0,2024-05-22,https://www.reachthefinals.com/patchnotes/290,,,,,,,,1,,,,,,,,,,,,
Update 2.8.0,2024-05-15,https://www.reachthefinals.com/patchnotes/280,,,,,,3,1,1,,1,,15,,7,13,1,,,3,
Update 2.7.0,2024-05-08,https://www.reachthefinals.com/patchnotes/270,,,,,,,,1,,,,3,1,,2,,,,,
Mid-Season Update 2.6.0,2024-05-02,https://www.reachthefinals.com/patchnotes/260,,1,1,1,,1,1,1,,2,,20,,24,16,5,6,,1,
Update 2.5.1,2024-04-24,https://www.reachthefinals.com/patchnotes/251,,,,,,,,1,,,,,1,,1,,,,,
Update 2.5.0,2024-04-17,https://www.reachthefinals.com/patchnotes/250,,,,,,,,1,,,,,,,2,2,3,,,
